region	n	trait	results	abbreviation	category	color
region_chr18_3891658_5834181	2	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_eqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr19_18299052_19766662	40	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr19_32255614_33772047	4	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr19_40478694_41625199	113	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr19_46646825_48778970	60	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr19_46646825_48778970	21	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr19_48778970_51029311	23	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr19_9127717_11173352	13	UKB_20002_1453_self_reported_psoriasis	spredixcan_eqtl	PSO_UKBS	Immune	#40A0A0
region_chr1_100360849_101575460	33	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr1_16571235_18336405	25	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr1_170588635_173128768	1	UKB_20127_Neuroticism_score	spredixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr1_39734895_41509656	55	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_46433829_47536904	26	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr1_93070902_94040635	1	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr20_48583442_50623121	4	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr20_5497204_7103426	1	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr20_57872903_59831517	23	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr22_27438791_29255810	4	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr2_160913222_162647041	25	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr2_174724201_176498908	22	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr2_241210506_242147200	84	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr2_70528066_72947719	19	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr3_23763374_25420067	12	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr3_51797999_54047363	432	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr4_121736832_123365326	108	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr4_142522112_145257035	103	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr4_17381699_18840251	113	EGG_BW3_EUR	spredixcan_eqtl	BW	Anthropometric	#404040
region_chr4_37253425_38905401	58	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr5_141266403_143601683	11	UKB_20002_1111_self_reported_asthma	spredixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr5_157201689_159398690	4	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr5_176023592_177824506	53	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr5_176023592_177824506	193	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_108143176_109983044	25	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr6_167642155_168981955	12	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_28949831_29770194	12	UKB_20002_1261_self_reported_multiple_sclerosis	spredixcan_eqtl	MS_UKBS	Psychiatric-neurologic	#0000A0
region_chr6_30830391_31603441	100	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr6_39327901_40377376	1	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr6_6784974_7808703	11	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_100599028_101555972	27	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr7_25869935_28320690	5	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr7_44724229_45913323	101	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr7_46947122_49172682	1	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr7_5814895_6534226	35	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr7_7769121_9083793	6	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr7_7769121_9083793	6	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr7_99117851_100599028	119	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_100608730_103111078	9	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr8_10605687_11421489	2	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr8_118673218_120189461	108	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_143155464_145078481	144	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr8_58815541_61416540	3	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr9_132423455_134176000	57	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr10_114661647_117764423	12	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr10_44234627_46978910	1	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr10_68436234_70461094	3	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	spredixcan_eqtl	DVT_UKBS	Cardiometabolic	#004000
region_chr10_91575290_93636611	2	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_74701306_77086163	24	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr11_9065770_10930480	11	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_27646840_29498322	75	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_89869057_92477438	16	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_22549721_24435917	163	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr14_24435917_25666480	6	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr15_40885316_42484201	118	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_62923023_64812469	13	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr15_66802429_68725660	76	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr15_76106283_78223711	6	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr16_84412277_85115079	1	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr17_38653091_40721152	511	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr17_44979537_47798656	3	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr17_74676064_76379479	17	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_16263605_18299052	30	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr19_18299052_19766662	337	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_33772047_35978393	21	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr19_54099074_55216712	2	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr1_219417229_221684889	16	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr1_241908300_243946197	50	SSGAC_Education_Years_Pooled	spredixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr1_241908300_243946197	4	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr1_55947444_56556055	2	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr20_20979069_22510818	5	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_2488855_3847766	1	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr20_36332043_38281128	33	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr20_60986668_62670503	7	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr21_37339402_39110976	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr21_37339402_39110976	17	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr21_44757190_46072312	5	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr21_46072312_46699840	40	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr22_38911889_40149793	43	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr22_40149793_42294812	127	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr2_101205867_102072305	45	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr2_109814855_113164279	12	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr2_113164279_116014894	3	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr2_160913222_162647041	36	SSGAC_Education_Years_Pooled	spredixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr2_166499460_169111726	37	MAGIC_FastingGlucose	spredixcan_eqtl	FG	Cardiometabolic	#004000
region_chr2_23118512_24464049	102	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr2_26672117_28375910	3	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr3_140235755_141620255	9	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr3_168863172_171247120	37	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr3_47685722_49279539	162	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr3_98497106_99654918	12	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_149762428_151861032	29	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr4_38905401_40200989	21	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr4_54563389_55681477	2	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr5_130183332_132803957	216	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr6_141967342_144998674	28	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr6_31603441_32714887	1021	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr6_40377376_42070983	222	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr6_42070983_43788432	96	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_43788432_45438826	14	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr7_150143569_151014417	41	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr7_23431823_25037640	38	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_43119475_44724229	1	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr7_44724229_45913323	97	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr7_91032469_92864438	119	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_11421489_13634266	7	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr8_139713400_141963553	2	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr8_25625938_26825008	2	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr8_40845818_41863936	30	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr8_40845818_41863936	2	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr8_41863936_42918680	64	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr8_9297184_9783277	1	MAGNETIC_HDL.C	spredixcan_eqtl	HDLC	Cardiometabolic	#004000
region_chr8_9297184_9783277	1	UKB_20127_Neuroticism_score	spredixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr8_9783277_10605687	10	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr9_136047132_136605890	70	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr9_4495328_4884926	1	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr9_93909416_96159758	32	EGG_BW3_EUR	spredixcan_eqtl	BW	Anthropometric	#404040
region_chr10_102620653_104935290	113	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr10_124109830_126312529	13	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_34820427_36283580	29	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr11_116512631_117876395	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr11_1192365_3644251	54	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_102571208_104454918	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_63638681_65165915	38	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr12_89288345_91672378	9	PGC_ADHD_EUR_2017	spredixcan_eqtl	ADHD	Psychiatric-neurologic	#0000A0
region_chr15_43905851_46326589	11	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr15_78223711_80568637	26	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr16_24125554_25975541	39	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr16_84412277_85115079	1	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr17_1269105_2025437	5	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr17_44979537_47798656	93	UKB_1200_Sleeplessness_or_insomnia	spredixcan_eqtl	INSOMN_UKB	Psychiatric-neurologic	#0000A0
region_chr17_79302554_80863788	58	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr19_44239955_45599439	17	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr19_9127717_11173352	58	MAGNETIC_IDL.TG	spredixcan_eqtl	IDL	Cardiometabolic	#004000
region_chr1_107867043_109761309	28	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr1_11717784_12719464	53	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_166491280_169117086	9	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	spredixcan_eqtl	DVT_UKBS	Cardiometabolic	#004000
region_chr1_200168521_201620847	13	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr1_201620847_203365606	35	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr1_204711940_206268085	124	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr1_204711940_206268085	60	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr1_204711940_206268085	149	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_219417229_221684889	2	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr1_222056878_224750818	34	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr1_247181216_248945267	60	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_91420760_93070902	78	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr22_40149793_42294812	60	BCAC_Overall_BreastCancer_EUR	spredixcan_eqtl	BC	Cancer	#A0A0A0
region_chr2_10133_1777250	19	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_10133_1777250	3	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_109814855_113164279	40	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr2_160913222_162647041	1	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr2_166499460_169111726	39	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr2_189017339_191108631	4	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr2_217530757_219589829	896	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_236540389_237852338	6	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr3_42498510_45123661	3	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr3_46616010_47685722	1	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr3_47685722_49279539	6	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr3_51797999_54047363	62	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr3_70399877_72480178	3	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr4_104384137_106580148	7	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr4_55681477_58068842	40	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_50867564_52838788	53	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr5_56121522_57325275	108	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_94474279_96627815	7	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_96627815_97979897	46	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr6_157797687_160159465	26	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr6_26791023_28050041	137	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr6_30830391_31603441	5	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr6_31603441_32714887	904	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr6_31603441_32714887	178	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr6_33268720_35487979	373	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr6_33268720_35487979	1	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	spredixcan_eqtl	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr6_33268720_35487979	542	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_42070983_43788432	4	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr7_49172682_51607626	5	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_eqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr8_7295557_9297184	114	UKB_20127_Neuroticism_score	spredixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr9_10023_1079707	2	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr9_114257521_115159681	11	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr9_136047132_136605890	109	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_6557589_7154923	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr10_5941799_7129522	6	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr10_73662792_76947056	7	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr11_13351577_15721006	39	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	92	UKB_20002_1111_self_reported_asthma	spredixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr11_66131160_68238358	5	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_66131160_68238358	379	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_70855_1192365	8	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_63638681_65165915	39	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_94120791_95627009	20	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
